Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
665,Sidnei,br BRA,DF,Goiás,32,1989,4,4,294,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,b14d0c5d
666,Pablo Siles,uy URU,MF,Atl Paranaense,24,1997,5,2,158,1.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,cca1e0b5
667,Aderlan Silva,br BRA,DF,Bragantino,31,1990,31,31,2675,29.7,1,2,1,0,0,10,0,0.03,0.07,0.10,0.03,0.10,0.7,0.7,6.5,7.3,0.02,0.22,0.24,0.02,0.24,Matches,48371573
668,Bruno Silva,br BRA,MF,Avaí,35,1986,31,31,2603,28.9,0,1,0,0,0,14,1,0.00,0.03,0.03,0.00,0.03,1.6,1.6,0.9,2.5,0.06,0.03,0.09,0.06,0.09,Matches,6efbf91e
669,Da Silva,br BRA,DF,Goiás,20,2001,7,6,568,6.3,1,0,1,0,0,3,0,0.16,0.00,0.16,0.16,0.16,0.4,0.4,0.0,0.4,0.06,0.01,0.07,0.06,0.07,Matches,4772a037
670,Cristiano da Silva Leite,br BRA,DF,Fluminense,28,1993,14,8,748,8.3,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.6,0.6,0.3,0.8,0.07,0.03,0.10,0.07,0.10,Matches,2567b7b6
671,Felipe Silva Lipe,br BRA,DF,Avaí,19,2002,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.7,0.7,0.2,0.9,0.24,0.06,0.30,0.24,0.30,Matches,6b2bfcda
672,Lucas Silva,br BRA,FWMF,Avaí,24,1998,6,0,110,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.01,0.07,0.06,0.07,Matches,aa47c6ce
673,Marcão Silva,br BRA,MFDF,Cuiabá,31,1991,26,11,1265,14.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2.1,2.1,0.3,2.4,0.15,0.02,0.17,0.15,0.17,Matches,e7f8bf4a
674,Márcio Silva,br BRA,DF,Coritiba,20,2001,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7ee2ea5b
675,Nathan Silva,br BRA,DF,Atlético Mineiro,24,1997,22,18,1732,19.2,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.7,1.9,0.07,0.03,0.10,0.07,0.10,Matches,369d907c
676,Ricardo Silva,br BRA,DF,América (MG),29,1992,11,8,743,8.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches,a5075276
677,Miguel Silveira,br BRA,MFFW,Bragantino,18,2003,17,7,565,6.3,1,2,1,0,0,1,0,0.16,0.32,0.48,0.16,0.48,0.9,0.9,2.5,3.3,0.14,0.39,0.53,0.14,0.53,Matches,281942c4
678,Vinicius Silvestre,br BRA,GK,Palmeiras,27,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1944518a
679,Jailson Siqueira,br BRA,MF,Palmeiras,26,1995,2,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.20,0.00,0.20,0.20,0.20,Matches,b4819112
680,Everton Soares,br BRA,FWMF,Flamengo,25,1996,20,15,1416,15.7,2,5,2,0,0,0,1,0.13,0.32,0.44,0.13,0.44,3.2,3.2,5.5,8.8,0.20,0.35,0.56,0.20,0.56,Matches,b1cbc666
681,Tiquinho Soares,br BRA,FW,Botafogo (RJ),31,1991,14,14,1236,13.7,6,2,5,1,1,1,0,0.44,0.15,0.58,0.36,0.51,5.4,4.6,1.2,5.8,0.39,0.09,0.48,0.34,0.43,Matches,4d982baf
682,Fernando Sobral,br BRA,MF,Ceará,27,1994,23,10,1005,11.2,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.9,0.9,0.5,1.4,0.08,0.04,0.12,0.08,0.12,Matches,c012aacd
683,Yeferson Soteldo,ve VEN,FWMF,Santos,24,1997,7,7,566,6.3,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,0.6,0.6,1.3,2.0,0.10,0.21,0.31,0.10,0.31,Matches,bbb6c951
