Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,28,25,2106,23.4,1,2,1,0,0,6,0,0.04,0.09,0.13,0.04,0.13,1.2,1.2,2.2,3.4,0.05,0.09,0.15,0.05,0.15,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,17,16,1446,16.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.3,1.6,0.08,0.02,0.10,0.08,0.10,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,25,13,1239,13.8,3,0,3,0,0,2,0,0.22,0.00,0.22,0.22,0.22,2.6,2.6,0.8,3.4,0.19,0.06,0.25,0.19,0.25,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,33,22,1738,19.3,2,4,2,0,0,3,0,0.10,0.21,0.31,0.10,0.31,3.8,3.8,2.8,6.6,0.19,0.14,0.34,0.19,0.34,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,6,0,156,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.41,0.06,0.47,0.41,0.47,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,20,15,1453,16.1,8,1,8,0,0,4,1,0.50,0.06,0.56,0.50,0.56,5.9,5.9,1.6,7.5,0.36,0.10,0.46,0.36,0.46,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,28,24,1929,21.4,2,2,2,0,0,2,1,0.09,0.09,0.19,0.09,0.19,1.9,1.9,1.5,3.4,0.09,0.07,0.16,0.09,0.16,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,34,22,2005,22.3,8,5,8,0,0,3,0,0.36,0.22,0.58,0.36,0.58,6.5,6.5,2.4,8.9,0.29,0.11,0.40,0.29,0.40,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,20,11,929,10.3,6,1,6,0,0,3,0,0.58,0.10,0.68,0.58,0.68,5.2,5.2,0.7,5.9,0.50,0.07,0.57,0.50,0.57,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,21,11,1024,11.4,2,0,2,0,0,3,0,0.18,0.00,0.18,0.18,0.18,2.6,2.6,1.3,3.9,0.23,0.12,0.35,0.23,0.35,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,4,4,335,3.7,1,0,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27,0.2,0.2,0.0,0.2,0.05,0.00,0.05,0.05,0.05,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,12,11,994,11.0,1,0,1,0,0,3,1,0.09,0.00,0.09,0.09,0.09,0.8,0.8,0.4,1.1,0.07,0.03,0.10,0.07,0.10,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,21,16,1400,15.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.00,0.04,0.04,0.00,0.04,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,3,2,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.05,0.07,0.01,0.07,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,15,10,943,10.5,1,1,1,0,0,5,0,0.10,0.10,0.19,0.10,0.19,1.2,1.2,0.9,2.1,0.12,0.09,0.20,0.12,0.20,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,33,31,2733,30.4,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,1.0,1.9,0.03,0.03,0.06,0.03,0.06,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,2,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.03,0.09,0.06,0.09,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,28,21,1497,16.6,6,0,6,0,1,7,0,0.36,0.00,0.36,0.36,0.36,6.7,6.0,1.3,7.3,0.41,0.08,0.49,0.36,0.44,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,31,30,2598,28.9,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.5,0.5,2.4,2.9,0.02,0.08,0.10,0.02,0.10,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,5,5,424,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,12421a7c
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17,17,1530,17.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7fbe8689
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,35,32,2789,31.0,1,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,0.5,0.5,2.8,3.3,0.02,0.09,0.11,0.02,0.11,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,18,7,729,8.1,0,1,0,0,0,5,2,0.00,0.12,0.12,0.00,0.12,1.0,1.0,1.2,2.2,0.13,0.15,0.27,0.13,0.27,Matches,7a7c9837
26,André,br BRA,MF,Fluminense,20,2001,34,34,3015,33.5,1,1,1,0,0,10,1,0.03,0.03,0.06,0.03,0.06,1.0,1.0,1.7,2.7,0.03,0.05,0.08,0.03,0.08,Matches,ec604e2c
27,André,br BRA,FW,Cuiabá,31,1990,17,10,728,8.1,3,0,2,1,1,2,0,0.37,0.00,0.37,0.25,0.25,2.6,1.8,0.2,2.0,0.32,0.02,0.35,0.23,0.25,Matches,13b52dec
28,Andrey,br BRA,MF,Avaí,19,2002,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.06,0.06,0.00,0.06,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,16,5,479,5.3,2,1,2,0,0,0,0,0.38,0.19,0.56,0.38,0.56,2.9,2.9,0.8,3.8,0.55,0.16,0.71,0.55,0.71,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,18,10,908,10.1,1,1,1,0,0,3,0,0.10,0.10,0.20,0.10,0.20,1.6,1.6,0.4,2.0,0.16,0.04,0.20,0.16,0.20,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,20,19,1721,19.1,0,3,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,1.6,1.6,3.8,5.4,0.08,0.20,0.28,0.08,0.28,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,14,10,922,10.2,2,0,2,0,0,1,0,0.20,0.00,0.20,0.20,0.20,1.2,1.2,0.4,1.6,0.11,0.04,0.15,0.11,0.15,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,8,0,83,0.9,2,3,2,0,0,1,0,2.17,3.25,5.42,2.17,5.42,0.8,0.8,0.8,1.6,0.88,0.86,1.74,0.88,1.74,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8,8,720,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.7,0.07,0.02,0.08,0.07,0.08,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,33,31,2663,29.6,7,10,6,1,1,4,0,0.24,0.34,0.57,0.20,0.54,3.3,2.5,7.1,9.6,0.11,0.24,0.35,0.08,0.32,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,7,1,178,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,33,32,2787,31.0,6,6,6,0,0,3,0,0.19,0.19,0.39,0.19,0.39,6.4,6.4,5.9,12.3,0.21,0.19,0.40,0.21,0.40,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,26,5,658,7.3,1,0,1,0,0,4,0,0.14,0.00,0.14,0.14,0.14,1.1,1.1,0.7,1.8,0.14,0.09,0.24,0.14,0.24,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,3,1,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,30,6,1134,12.6,1,1,1,0,0,9,0,0.08,0.08,0.16,0.08,0.16,2.2,2.2,2.0,4.2,0.17,0.16,0.33,0.17,0.33,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,25,16,1402,15.6,1,3,1,0,0,0,0,0.06,0.19,0.26,0.06,0.26,1.4,1.4,3.7,5.1,0.09,0.24,0.33,0.09,0.33,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,25,19,1480,16.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.03,0.01,0.04,0.03,0.04,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,8,5,387,4.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.07,0.08,0.01,0.08,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,19,10,862,9.6,0,2,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,1.1,1.1,1.0,2.0,0.11,0.10,0.21,0.11,0.21,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,36,30,2274,25.3,4,2,4,0,0,3,1,0.16,0.08,0.24,0.16,0.24,4.1,4.1,3.1,7.2,0.16,0.12,0.28,0.16,0.28,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,6,0,85,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,1.1,1.08,0.13,1.21,1.08,1.21,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,1,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,5,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d8a48dad
