,Player,Nation,Position,Club,Age,Born,Match Played,Starts,Minutes Played,90s,Goals,Assist,G-PK,Penalty Kicks,PKatt,Yellow Card,Red Card,Goals/90,Assist/90,G+A/90,G-PK/90,G+A-PK,xG,npxG,xA,xAG,Assist-xAG,npxG+xAG,xG/90,xA/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,Shots Total,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK(Shot),npxG/Sh,G-xG,np:G-xG,Passes Completed,Passes Attempted,Pass Completion%,TotDist,PrgDist,Passes Completed(Short),Passes Attempted(Short),Passes Completion%(Short),Passes Completed(Medium),Passes Attempted(Medium),Passes Completion%(Medium),Passes Completed(Long),Passes Attempted(Long),Passes Completion%(Long),Key Passes,Completed Passes to Attacking Third,Completed Passes to Penalty Area,Completed Crosses to Penalty Are,Progressive Pass Completed,Live Ball Passes,Dead Ball Passes,Passes from Free Kick,TB,Passes 40yds+,Crosses,Throw-ins Taken,Corner Kick,Inswinging Corner Kick,Outswinging Corner Kick,Straight Corner Kick,Passes leading to Offside,Passes Blocked,Shots Creating Action,SCA/90,PassLive(SCA),PassDead(SCA),Dribble(SCA),Shot(SCA),Fouls Drawn(SCA),Defensive Action(SCA),Goals Creating Action,GCA/90,PassLive(GCA),PassDead(GCA),Dribble(GCA),Shot(GCA),Fouls Drawn(GCA),Defensive Action(GCA),Touches,Touches in Defensive Penalty Area,Touches in Defensive 3rd,Touches in Middle 3rd,Touches in Attacking 3rd,Touches in Attacking Penalty Area,Live Ball Touches,Dribble Success,Dribble Attempted,Dribble Success%,Mis,Ball Lost (Tackled),Passes Received,Progressive Pass Received,Tackles Attempted,Tackles Won,Tackles in Defensive 3rd,Tackles in Middle 3rd,Tackles in Attacking 3rd,Tackle Won (vsDribble),Tackle Attempted (vsDribble),Tackle% (vsDribble),Dribbled Past (vsDribble),Blocks,Shots Blocked,Pass Blocked,Interception,Tackle + Interception,Clearance,Error Leads to Shot
378,Luciano,br BRA,FW,São Paulo,28,1993,31,25,2037,22.6,11,2,9,2,3,9,0,0.49,0.09,0.57,0.4,0.49,9.3,7.0,2.5,2.9,-0.9,10.0,0.41,0.11061946902654866,0.13,0.54,0.31,0.44,64,27,42.2,2.83,1.19,0.14,0.33,17.9,2.0,0.11,1.7,2.0,640.0,764.0,83.8,10796.0,1609.0,309.0,351.0,88.0,227.0,252.0,90.1,69.0,91.0,75.8,21.0,54.0,15.0,0.0,47.0,738.0,21.0,14.0,2.0,16.0,5,5.0,0.0,0.0,0.0,0.0,5.0,13.0,61.0,2.69,43.0,3.0,4.0,9.0,2.0,0.0,8.0,0.35,8.0,0.0,0.0,0.0,0.0,0.0,970.0,13.0,89.0,514.0,376.0,82.0,967.0,26.0,37.0,70.3,37.0,20.0,768.0,114.0,17.0,9,4.0,10.0,3.0,8.0,25.0,32.0,17.0,23.0,4.0,19.0,7,24.0,11.0,0.0
379,André Luis,br BRA,FWMF,Cuiabá,24,1997,33,22,1838,20.4,3,0,3,0,0,5,0,0.15,0.0,0.15,0.15,0.15,2.1,2.1,2.4,2.2,-2.2,4.3,0.1,0.11764705882352941,0.11,0.21,0.1,0.21,32,9,28.1,1.57,0.44,0.09,0.33,19.5,0.0,0.07,0.9,0.9,349.0,440.0,79.3,5062.0,1215.0,193.0,219.0,88.1,130.0,160.0,81.3,13.0,25.0,52.0,19.0,25.0,17.0,3.0,36.0,414.0,26.0,3.0,1.0,0.0,19,15.0,2.0,0.0,0.0,0.0,0.0,8.0,54.0,2.65,34.0,0.0,3.0,4.0,13.0,0.0,3.0,0.15,1.0,0.0,0.0,0.0,2.0,0.0,647.0,7.0,97.0,259.0,302.0,61.0,647.0,17.0,48.0,35.4,47.0,22.0,461.0,97.0,23.0,13,9.0,11.0,3.0,7.0,24.0,29.2,17.0,16.0,4.0,12.0,7,30.0,10.0,0.0
381,Victor Luis,br BRA,DF,Ceará,28,1993,24,14,1412,15.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,1.2,-1.2,1.6,0.03,0.10191082802547771,0.08,0.1,0.03,0.1,17,2,11.8,1.08,0.13,0.0,0.0,30.5,6.0,0.03,-0.4,-0.4,763.0,940.0,81.2,12874.0,4808.0,381.0,397.0,96.0,301.0,360.0,83.6,70.0,138.0,50.7,16.0,68.0,16.0,7.0,51.0,758.0,176.0,46.0,0.0,2.0,57,117.0,13.0,0.0,13.0,0.0,6.0,15.0,36.0,2.29,24.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.0,51.0,287.0,586.0,218.0,3.0,1079.0,6.0,15.0,40.0,18.0,9.0,651.0,14.0,17.0,9,7.0,9.0,1.0,6.0,20.0,30.0,14.0,11.0,7.0,4.0,15,32.0,30.0,0.0
382,David Luiz,br BRA,DF,Flamengo,34,1987,19,17,1424,15.8,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,0.5,-0.5,1.5,0.06,0.044303797468354424,0.03,0.1,0.06,0.1,14,7,50.0,0.88,0.44,0.0,0.0,18.6,4.0,0.07,-1.0,-1.0,920.0,1038.0,88.6,18089.0,6891.0,289.0,303.0,95.4,528.0,558.0,94.6,97.0,161.0,60.2,5.0,98.0,6.0,0.0,69.0,979.0,56.0,47.0,2.0,4.0,6,3.0,0.0,0.0,0.0,0.0,3.0,2.0,12.0,0.76,10.0,0.0,1.0,0.0,1.0,0.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,1156.0,115.0,429.0,664.0,69.0,20.0,1156.0,2.0,4.0,50.0,7.0,4.0,850.0,4.0,13.0,4,5.0,7.0,1.0,5.0,7.0,71.4,2.0,15.0,12.0,3.0,13,26.0,48.0,0.0
385,Mádson,br BRA,DF,Santos,30,1992,27,25,2139,23.8,3,2,3,0,0,5,0,0.13,0.08,0.21,0.13,0.21,0.8,0.8,1.4,1.2,0.8,2.0,0.03,0.0588235294117647,0.05,0.08,0.03,0.08,9,4,44.4,0.38,0.17,0.33,0.75,10.8,0.0,0.09,2.2,2.2,806.0,1047.0,77.0,13973.0,5459.0,402.0,452.0,88.9,307.0,391.0,78.5,87.0,150.0,58.0,25.0,66.0,11.0,9.0,56.0,839.0,208.0,16.0,0.0,4.0,55,192.0,0.0,0.0,0.0,0.0,0.0,21.0,45.0,1.9,38.0,3.0,0.0,3.0,0.0,1.0,4.0,0.17,3.0,0.0,0.0,1.0,0.0,0.0,1244.0,97.0,368.0,619.0,262.0,34.0,1244.0,1.0,7.0,14.3,16.0,3.0,696.0,49.0,37.0,25,20.0,17.0,0.0,21.0,32.0,65.6,11.0,26.0,18.0,8.0,32,69.0,59.0,2.0
386,Maguinho,br BRA,DFMF,Goiás,29,1993,31,22,1941,21.6,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.6,0.7,-0.7,1.1,0.02,0.07407407407407407,0.03,0.05,0.02,0.05,11,1,9.1,0.51,0.05,0.0,0.0,21.2,0.0,0.04,-0.5,-0.5,523.0,737.0,71.0,8244.0,3713.0,284.0,323.0,87.9,183.0,268.0,68.3,44.0,100.0,44.0,12.0,36.0,18.0,9.0,35.0,566.0,171.0,8.0,1.0,4.0,41,163.0,0.0,0.0,0.0,0.0,0.0,24.0,36.0,1.67,24.0,4.0,3.0,0.0,2.0,3.0,2.0,0.09,0.0,1.0,0.0,0.0,1.0,0.0,988.0,83.0,351.0,409.0,244.0,22.0,988.0,16.0,45.0,35.6,36.0,9.0,446.0,40.0,41.0,26,24.0,10.0,7.0,18.0,31.0,58.1,13.0,19.0,11.0,8.0,34,75.0,68.0,0.0
389,Pablo Maia,br BRA,MF,São Paulo,20,2002,32,22,2053,22.8,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.2,0.7,-0.7,1.6,0.04,0.05263157894736842,0.03,0.07,0.04,0.07,30,11,36.7,1.32,0.48,0.0,0.0,28.6,0.0,0.03,-0.9,-0.9,1243.0,1389.0,89.5,23475.0,5866.0,507.0,550.0,92.2,568.0,603.0,94.2,148.0,184.0,80.4,10.0,121.0,15.0,2.0,90.0,1349.0,39.0,35.0,0.0,24.0,8,4.0,0.0,0.0,0.0,0.0,1.0,15.0,41.0,1.8,35.0,3.0,0.0,2.0,1.0,0.0,4.0,0.18,3.0,0.0,0.0,1.0,0.0,0.0,1595.0,63.0,372.0,995.0,243.0,5.0,1595.0,9.0,14.0,64.3,26.0,10.0,1102.0,11.0,41.0,19,24.0,17.0,0.0,20.0,44.0,45.5,24.0,36.0,9.0,27.0,21,62.0,28.0,1.0
390,Thiago Maia,br BRA,MF,Flamengo,24,1997,24,18,1544,17.2,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.2,0.4,-0.4,0.7,0.02,0.06976744186046512,0.02,0.04,0.02,0.04,6,3,50.0,0.35,0.17,0.0,0.0,25.3,0.0,0.05,-0.3,-0.3,1046.0,1156.0,90.5,17656.0,5400.0,475.0,513.0,92.6,466.0,492.0,94.7,82.0,108.0,75.9,10.0,118.0,9.0,2.0,65.0,1118.0,35.0,27.0,2.0,5.0,3,8.0,0.0,0.0,0.0,0.0,3.0,11.0,28.0,1.63,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323.0,46.0,294.0,807.0,233.0,7.0,1323.0,9.0,18.0,50.0,22.0,9.0,897.0,24.0,44.0,26,17.0,21.0,6.0,22.0,45.0,48.9,23.0,18.0,7.0,11.0,24,68.0,27.0,0.0
391,Maicon,br BRA,DF,Santos,33,1988,23,23,1918,21.3,0,2,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,0.9,0.9,0.7,0.8,1.2,1.7,0.04,0.03286384976525821,0.04,0.08,0.04,0.08,13,4,30.8,0.61,0.19,0.0,0.0,15.4,3.0,0.07,-0.9,-0.9,850.0,1043.0,81.5,19295.0,8421.0,215.0,236.0,91.1,431.0,485.0,88.9,194.0,299.0,64.9,9.0,69.0,12.0,3.0,71.0,977.0,64.0,62.0,0.0,27.0,16,2.0,0.0,0.0,0.0,0.0,2.0,3.0,21.0,0.99,17.0,0.0,0.0,2.0,0.0,2.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,1277.0,204.0,640.0,584.0,64.0,23.0,1277.0,3.0,4.0,75.0,6.0,3.0,765.0,2.0,29.0,20,22.0,7.0,0.0,23.0,36.0,63.9,13.0,38.0,25.0,13.0,29,58.0,113.0,1.0
392,Iago Maidana,br BRA,DF,América (MG),25,1996,17,12,1035,11.5,3,0,1,2,2,5,1,0.26,0.0,0.26,0.09,0.09,1.2,0.3,0.1,0.1,-0.1,0.4,0.11,0.008695652173913044,0.01,0.11,0.03,0.03,5,1,20.0,0.43,0.09,0.2,1.0,19.0,0.0,0.06,1.8,0.7,286.0,374.0,76.5,6184.0,2084.0,77.0,96.0,80.2,155.0,182.0,85.2,51.0,86.0,59.3,1.0,26.0,1.0,0.0,25.0,359.0,13.0,12.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.26,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,76.0,271.0,203.0,15.0,9.0,484.0,2.0,3.0,66.7,6.0,2.0,275.0,2.0,8.0,6,6.0,2.0,0.0,4.0,11.0,36.4,7.0,6.0,5.0,1.0,8,16.0,63.0,0.0
394,Alef Manga,br BRA,FWMF,Coritiba,27,1994,35,30,2426,27.0,9,5,7,2,2,13,1,0.33,0.19,0.52,0.26,0.45,8.0,6.5,3.4,4.3,0.7,10.8,0.3,0.1259259259259259,0.16,0.46,0.24,0.4,81,30,37.0,3.0,1.11,0.09,0.23,18.8,0.0,0.08,1.0,0.5,537.0,761.0,70.6,8996.0,2271.0,275.0,333.0,82.6,189.0,256.0,73.8,50.0,105.0,47.6,51.0,43.0,35.0,9.0,67.0,750.0,10.0,1.0,2.0,12.0,87,8.0,0.0,0.0,0.0,0.0,1.0,23.0,98.0,3.64,71.0,0.0,14.0,8.0,4.0,1.0,12.0,0.45,7.0,0.0,2.0,2.0,1.0,0.0,1074.0,22.0,146.0,401.0,549.0,121.0,1072.0,37.0,67.0,55.2,70.0,26.0,739.0,149.0,42.0,23,14.0,17.0,11.0,16.0,33.0,48.5,17.0,39.0,0.0,39.0,14,56.0,16.0,0.0
395,Manoel,br BRA,DF,Fluminense,31,1990,31,31,2448,27.2,4,1,4,0,0,5,2,0.15,0.04,0.18,0.15,0.18,1.5,1.5,0.7,1.1,-0.1,2.6,0.06,0.025735294117647058,0.04,0.1,0.06,0.1,20,4,20.0,0.74,0.15,0.2,1.0,10.7,0.0,0.08,2.5,2.5,1507.0,1677.0,89.9,27751.0,10664.0,639.0,666.0,95.9,651.0,709.0,91.8,189.0,256.0,73.8,8.0,91.0,1.0,0.0,66.0,1561.0,115.0,103.0,0.0,14.0,5,11.0,0.0,0.0,0.0,0.0,1.0,6.0,28.0,1.03,23.0,1.0,1.0,1.0,1.0,1.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,1915.0,212.0,826.0,1011.0,91.0,31.0,1915.0,3.0,8.0,37.5,16.0,6.0,1375.0,6.0,22.0,12,11.0,11.0,0.0,13.0,21.0,61.9,8.0,26.0,21.0,5.0,22,44.0,93.0,1.0
397,Luis Manuel Orejuela,co COL,DF,Atl Paranaense,26,1995,15,15,1166,13.0,1,1,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,0.3,0.3,0.9,0.6,0.4,0.9,0.02,0.06923076923076923,0.05,0.07,0.02,0.07,4,1,25.0,0.31,0.08,0.25,1.0,20.2,0.0,0.06,0.7,0.7,399.0,530.0,75.3,6628.0,2433.0,200.0,226.0,88.5,154.0,202.0,76.2,34.0,69.0,49.3,7.0,30.0,9.0,6.0,19.0,398.0,132.0,5.0,0.0,3.0,37,127.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,1.31,11.0,2.0,1.0,1.0,2.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,644.0,39.0,174.0,294.0,182.0,13.0,644.0,12.0,25.0,48.0,17.0,13.0,314.0,22.0,25.0,14,15.0,7.0,3.0,15.0,26.0,57.7,11.0,8.0,2.0,6.0,10,35.0,28.0,0.0
399,Willian Maranhão,br BRA,MFDF,Atl Goianiense,26,1995,18,17,1334,14.8,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.3,-0.3,0.4,0.01,0.02702702702702703,0.02,0.03,0.01,0.03,9,0,0.0,0.61,0.0,0.0,,30.0,0.0,0.02,-0.1,-0.1,496.0,586.0,84.6,9218.0,2551.0,209.0,233.0,89.7,220.0,240.0,91.7,59.0,88.0,67.0,10.0,41.0,7.0,1.0,36.0,564.0,22.0,19.0,0.0,8.0,3,3.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,1.55,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,76.0,240.0,425.0,87.0,3.0,746.0,4.0,8.0,50.0,17.0,4.0,442.0,7.0,25.0,12,9.0,12.0,4.0,15.0,23.0,65.2,8.0,19.0,11.0,8.0,22,47.0,48.0,1.0
401,Fernando Marçal,br BRA,DF,Botafogo (RJ),32,1989,18,18,1542,17.1,1,2,1,0,0,6,0,0.06,0.12,0.18,0.06,0.18,0.3,0.3,3.9,3.6,-1.6,3.9,0.01,0.22807017543859648,0.21,0.23,0.01,0.23,10,5,50.0,0.58,0.29,0.1,0.2,26.6,2.0,0.03,0.7,0.7,852.0,1120.0,76.1,15368.0,6853.0,402.0,450.0,89.3,320.0,404.0,79.2,114.0,219.0,52.1,45.0,55.0,12.0,9.0,52.0,827.0,287.0,63.0,0.0,4.0,123,167.0,57.0,3.0,53.0,0.0,6.0,16.0,76.0,4.44,34.0,37.0,2.0,1.0,1.0,1.0,7.0,0.41,3.0,3.0,0.0,0.0,1.0,0.0,1276.0,57.0,330.0,583.0,384.0,14.0,1276.0,9.0,19.0,47.4,19.0,5.0,624.0,21.0,38.0,21,21.0,14.0,3.0,17.0,35.0,48.6,18.0,23.0,5.0,18.0,35,73.0,38.0,0.0
402,Marcelo,br BRA,DF,Fortaleza,26,1996,31,29,2612,29.0,0,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,1.0,1.0,0.5,0.8,0.2,1.8,0.03,0.017241379310344827,0.03,0.06,0.03,0.06,15,7,46.7,0.52,0.24,0.0,0.0,11.1,0.0,0.07,-1.0,-1.0,769.0,963.0,79.9,15560.0,6366.0,211.0,253.0,83.4,432.0,498.0,86.7,109.0,168.0,64.9,5.0,35.0,3.0,0.0,48.0,904.0,55.0,50.0,1.0,2.0,4,2.0,0.0,0.0,0.0,0.0,4.0,13.0,14.0,0.48,8.0,1.0,1.0,0.0,0.0,4.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1285.0,231.0,698.0,550.0,53.0,29.0,1285.0,9.0,14.0,64.3,15.0,6.0,648.0,8.0,34.0,20,22.0,11.0,1.0,21.0,39.0,53.8,18.0,36.0,27.0,9.0,52,86.0,150.0,0.0
404,Mariano,br BRA,DF,Atlético Mineiro,35,1986,25,19,1732,19.2,0,1,0,0,0,5,0,0.0,0.05,0.05,0.0,0.05,0.2,0.2,2.7,2.1,-1.1,2.3,0.01,0.14062500000000003,0.11,0.12,0.01,0.12,5,0,0.0,0.26,0.0,0.0,,23.2,1.0,0.04,-0.2,-0.2,978.0,1213.0,80.6,19050.0,7493.0,385.0,428.0,90.0,426.0,512.0,83.2,155.0,230.0,67.4,32.0,114.0,37.0,17.0,114.0,1009.0,200.0,27.0,3.0,13.0,78,167.0,6.0,0.0,6.0,0.0,4.0,11.0,59.0,3.07,51.0,8.0,0.0,0.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,1348.0,34.0,311.0,750.0,301.0,5.0,1348.0,6.0,15.0,40.0,14.0,5.0,797.0,34.0,43.0,30,21.0,18.0,4.0,24.0,55.0,43.6,31.0,17.0,1.0,16.0,22,65.0,28.0,1.0
405,Marinho,br BRA,FW,Flamengo,31,1990,25,16,1381,15.3,4,5,3,1,1,6,1,0.26,0.33,0.59,0.2,0.52,3.1,2.3,2.7,2.7,2.3,5.0,0.2,0.17647058823529413,0.17,0.38,0.15,0.32,45,14,31.1,2.93,0.91,0.07,0.21,21.5,6.0,0.05,0.9,0.7,342.0,497.0,68.8,5674.0,1468.0,181.0,210.0,86.2,116.0,161.0,72.0,34.0,86.0,39.5,31.0,20.0,20.0,5.0,31.0,427.0,69.0,13.0,3.0,3.0,94,5.0,51.0,37.0,12.0,0.0,1.0,21.0,81.0,5.28,42.0,13.0,10.0,5.0,10.0,1.0,10.0,0.65,3.0,4.0,0.0,1.0,2.0,0.0,713.0,8.0,78.0,218.0,438.0,52.0,712.0,27.0,62.0,43.5,37.0,23.0,483.0,96.0,28.0,12,10.0,12.0,6.0,11.0,26.0,42.3,15.0,15.0,1.0,14.0,7,35.0,6.0,1.0
406,Rodriguinho Marinho,br BRA,FWMF,Cuiabá,33,1988,33,16,1481,16.5,3,2,3,0,0,0,0,0.18,0.12,0.3,0.18,0.3,4.5,4.5,0.6,0.9,1.1,5.3,0.27,0.03636363636363636,0.05,0.32,0.27,0.32,49,13,26.5,2.98,0.79,0.06,0.23,16.9,2.0,0.09,-1.5,-1.5,332.0,432.0,76.9,5024.0,1387.0,184.0,217.0,84.8,96.0,121.0,79.3,29.0,40.0,72.5,17.0,46.0,7.0,1.0,44.0,413.0,15.0,2.0,1.0,6.0,8,1.0,0.0,0.0,0.0,0.0,4.0,11.0,50.0,3.04,35.0,0.0,3.0,8.0,3.0,1.0,7.0,0.43,4.0,0.0,0.0,2.0,1.0,0.0,624.0,6.0,53.0,331.0,249.0,54.0,624.0,19.0,44.0,43.2,52.0,30.0,466.0,88.0,16.0,6,3.0,9.0,4.0,7.0,17.0,41.2,10.0,12.0,1.0,11.0,4,20.0,5.0,0.0
407,Marlon,br BRA,DF,América (MG),27,1994,29,26,2185,24.3,0,1,0,0,0,5,1,0.0,0.04,0.04,0.0,0.04,0.8,0.8,2.2,1.6,-0.6,2.4,0.03,0.09053497942386832,0.06,0.1,0.03,0.1,27,4,14.8,1.11,0.16,0.0,0.0,26.7,0.0,0.03,-0.8,-0.8,883.0,1165.0,75.8,14283.0,7026.0,461.0,529.0,87.1,336.0,431.0,78.0,64.0,140.0,45.7,31.0,92.0,31.0,11.0,97.0,901.0,261.0,41.0,3.0,3.0,71,216.0,4.0,0.0,4.0,0.0,3.0,28.0,61.0,2.51,50.0,6.0,0.0,0.0,3.0,2.0,6.0,0.25,4.0,0.0,0.0,0.0,1.0,1.0,1421.0,104.0,428.0,631.0,389.0,13.0,1421.0,17.0,31.0,54.8,26.0,19.0,710.0,45.0,57.0,37,36.0,18.0,3.0,31.0,50.0,62.0,19.0,33.0,14.0,19.0,44,101.0,60.0,0.0
416,Matheus Martinelli,br BRA,MF,Fluminense,20,2001,28,17,1619,18.0,1,3,1,0,0,1,0,0.06,0.17,0.22,0.06,0.22,1.6,1.6,2.4,2.2,0.8,3.7,0.09,0.13333333333333333,0.12,0.21,0.09,0.21,23,6,26.1,1.28,0.33,0.04,0.17,18.9,0.0,0.07,-0.6,-0.6,1192.0,1364.0,87.4,18067.0,5274.0,632.0,683.0,92.5,433.0,480.0,90.2,69.0,95.0,72.6,23.0,93.0,21.0,0.0,82.0,1316.0,44.0,31.0,4.0,5.0,13,13.0,0.0,0.0,0.0,0.0,4.0,21.0,61.0,3.39,56.0,0.0,1.0,2.0,0.0,2.0,8.0,0.44,8.0,0.0,0.0,0.0,0.0,0.0,1567.0,93.0,419.0,794.0,367.0,56.0,1567.0,26.0,48.0,54.2,27.0,30.0,1196.0,45.0,42.0,26,16.0,19.0,7.0,15.0,25.0,60.0,10.0,27.0,11.0,16.0,14,56.0,22.0,0.0
418,Matheus Martins,br BRA,FWMF,Fluminense,18,2003,30,17,1604,17.8,3,5,3,0,0,2,0,0.17,0.28,0.45,0.17,0.45,3.5,3.5,3.3,2.8,2.2,6.3,0.2,0.18539325842696627,0.15,0.35,0.2,0.35,48,12,25.0,2.69,0.67,0.06,0.25,18.0,1.0,0.07,-0.5,-0.5,524.0,665.0,78.8,7126.0,1762.0,334.0,385.0,86.8,132.0,163.0,81.0,25.0,42.0,59.5,26.0,27.0,25.0,6.0,49.0,653.0,12.0,3.0,3.0,3.0,52,0.0,9.0,6.0,2.0,0.0,0.0,27.0,69.0,3.88,46.0,3.0,8.0,5.0,7.0,0.0,15.0,0.84,10.0,0.0,1.0,1.0,3.0,0.0,912.0,22.0,132.0,298.0,494.0,83.0,912.0,34.0,86.0,39.5,39.0,44.0,729.0,105.0,30.0,15,8.0,13.0,9.0,5.0,18.0,27.8,13.0,16.0,4.0,12.0,10,40.0,11.0,0.0
423,Matheusinho,br BRA,MFFW,América (MG),23,1998,28,13,1375,15.3,2,0,2,0,0,2,1,0.13,0.0,0.13,0.13,0.13,2.0,2.0,2.0,2.0,-2.0,3.9,0.13,0.13071895424836602,0.13,0.26,0.13,0.26,27,10,37.0,1.77,0.65,0.07,0.2,19.6,0.0,0.07,0.0,0.0,430.0,587.0,73.3,7261.0,2382.0,202.0,237.0,85.2,173.0,226.0,76.5,41.0,76.0,53.9,33.0,44.0,38.0,6.0,73.0,560.0,24.0,3.0,4.0,2.0,46,7.0,14.0,2.0,7.0,0.0,3.0,22.0,72.0,4.71,55.0,2.0,5.0,2.0,7.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,773.0,12.0,85.0,321.0,382.0,42.0,773.0,29.0,61.0,47.5,40.0,27.0,535.0,78.0,25.0,16,6.0,11.0,8.0,10.0,24.0,41.7,14.0,10.0,2.0,8.0,17,42.0,5.0,0.0
424,Matheuzinho,br BRA,DF,Flamengo,21,2000,28,23,2153,23.9,1,3,1,0,0,4,0,0.04,0.13,0.17,0.04,0.17,1.4,1.4,4.1,4.7,-1.7,6.2,0.06,0.17154811715481172,0.2,0.26,0.06,0.26,12,2,16.7,0.5,0.08,0.08,0.5,20.2,0.0,0.12,-0.4,-0.4,1172.0,1406.0,83.4,19979.0,6404.0,595.0,655.0,90.8,447.0,518.0,86.3,107.0,172.0,62.2,27.0,98.0,39.0,17.0,95.0,1215.0,190.0,24.0,0.0,16.0,71,165.0,1.0,0.0,1.0,0.0,1.0,27.0,59.0,2.47,53.0,0.0,2.0,0.0,2.0,2.0,5.0,0.21,5.0,0.0,0.0,0.0,0.0,0.0,1600.0,69.0,417.0,728.0,475.0,42.0,1600.0,16.0,32.0,50.0,28.0,7.0,1031.0,90.0,53.0,38,29.0,18.0,6.0,30.0,45.0,66.7,15.0,24.0,8.0,16.0,26,79.0,43.0,0.0
426,Mauricio,br BRA,FWMF,Internacional,20,2001,32,19,1566,17.4,6,5,6,0,0,2,0,0.34,0.29,0.63,0.34,0.63,4.0,4.0,3.6,4.5,0.5,8.5,0.23,0.20689655172413796,0.26,0.49,0.23,0.49,38,11,28.9,2.18,0.63,0.16,0.55,17.9,0.0,0.11,2.0,2.0,527.0,696.0,75.7,7492.0,1857.0,298.0,352.0,84.7,170.0,209.0,81.3,26.0,49.0,53.1,35.0,36.0,24.0,7.0,43.0,668.0,25.0,5.0,4.0,4.0,43,12.0,7.0,7.0,0.0,0.0,3.0,28.0,69.0,3.96,57.0,1.0,2.0,5.0,4.0,0.0,8.0,0.46,7.0,0.0,0.0,1.0,0.0,0.0,852.0,9.0,89.0,358.0,418.0,64.0,852.0,14.0,32.0,43.8,25.0,12.0,628.0,118.0,19.0,8,5.0,9.0,5.0,6.0,23.0,26.1,17.0,10.0,1.0,9.0,16,35.0,10.0,0.0
428,Mayke,br BRA,DFFW,Palmeiras,29,1992,28,15,1466,16.3,3,0,3,0,0,2,0,0.18,0.0,0.18,0.18,0.18,1.6,1.6,4.0,3.5,-3.5,5.1,0.1,0.24539877300613497,0.22,0.31,0.1,0.31,10,8,80.0,0.61,0.49,0.3,0.38,14.8,0.0,0.16,1.4,1.4,737.0,919.0,80.2,12584.0,4549.0,342.0,377.0,90.7,303.0,372.0,81.5,75.0,118.0,63.6,27.0,57.0,17.0,8.0,47.0,793.0,119.0,15.0,1.0,1.0,57,102.0,2.0,1.0,0.0,0.0,7.0,20.0,58.0,3.56,43.0,4.0,3.0,3.0,0.0,5.0,3.0,0.18,2.0,0.0,1.0,0.0,0.0,0.0,1073.0,46.0,316.0,485.0,283.0,36.0,1073.0,15.0,25.0,60.0,19.0,4.0,651.0,65.0,34.0,20,14.0,14.0,6.0,14.0,31.0,45.2,17.0,20.0,4.0,16.0,30,64.0,27.0,0.0
