Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
480,Gabriel Neris,br BRA,MF,Juventude,20,2001,2.4,102,5,15,73,15,1,102,3,8,37.5,2,3,67,7,Matches,54fe5551
481,Gustavo Nescau,br BRA,FW,Cuiabá,21,2000,0.3,9,0,3,4,2,1,9,0,0,,4,1,7,1,Matches,0682693b
482,Rodrigo Nestor,br BRA,MF,São Paulo,21,2000,23.6,1292,20,190,555,560,79,1292,22,53,41.5,38,27,860,138,Matches,c04ebe99
483,Gabriel Neves,uy URU,MF,São Paulo,24,1997,6.3,458,9,83,321,56,1,458,1,1,100.0,7,8,327,6,Matches,2a03fb5f
484,Nicolas,br BRA,FWMF,Goiás,32,1989,11.1,449,26,57,181,215,53,449,12,19,63.2,46,16,326,55,Matches,0e74a520
485,Nikão,br BRA,FWMF,São Paulo,29,1992,5.8,329,4,12,129,188,15,329,8,18,44.4,10,5,261,49,Matches,a34bb194
486,Nino,br BRA,DF,Fluminense,24,1997,27.9,1831,214,890,884,64,22,1831,13,18,72.2,9,8,1300,1,Matches,d4fa2207
487,Gabriel Noga,br BRA,DF,Atl Goianiense,20,2002,0.0,,,,,,,,,,,,,,,Matches,aa306af5
488,Ygor Nogueira,br BRA,DF,Juventude,26,1995,5.0,279,44,171,105,4,2,279,1,1,100.0,1,0,176,1,Matches,38466ef3
489,Nonato,br BRA,MF,Fluminense,23,1998,12.1,1082,35,188,619,278,11,1082,11,24,45.8,15,16,876,24,Matches,b91a6912
490,Nonoca,br BRA,MF,Avaí,23,1998,11.5,640,34,182,404,66,8,640,9,18,50.0,18,14,397,6,Matches,06c062d4
491,Gabriel Novaes,br BRA,FWMF,Bragantino,22,1999,4.3,120,3,13,50,59,12,120,5,11,45.5,9,6,86,18,Matches,297a324a
492,Thales Oleques,br BRA,DF,Avaí,27,1994,6.2,352,30,134,132,86,0,352,1,5,20.0,4,3,172,9,Matches,a30f8286
493,Bruno Oliveira,br BRA,MFFW,Santos,23,1998,5.0,310,2,34,176,102,12,310,4,13,30.8,11,4,223,19,Matches,d46904eb
494,Yuri Oliveira Lima,br BRA,MF,Juventude,27,1994,16.8,1016,36,256,628,136,9,1016,12,14,85.7,17,12,705,12,Matches,bcf3d64e
495,Pedro Oliveira,br BRA,MFFW,Goiás,17,2004,3.3,176,4,42,70,68,9,176,5,15,33.3,7,6,97,23,Matches,089b56d8
496,Leo Ortiz,br BRA,DF,Bragantino,26,1996,21.4,1415,201,691,693,44,12,1415,13,15,86.7,10,2,896,4,Matches,53834fa2
497,Kelvin Osorio,co COL,MFDF,Cuiabá,28,1993,10.5,574,22,105,250,229,14,574,6,11,54.5,8,7,329,34,Matches,1247ace9
498,Otávio,br BRA,MF,Atlético Mineiro,27,1994,12.9,995,28,250,700,55,4,995,4,6,66.7,7,5,722,9,Matches,243f4a0b
499,Luiz Otávio,br BRA,DF,Ceará,33,1988,21.2,1031,142,555,437,45,27,1031,4,6,66.7,11,3,592,5,Matches,ed976dd9
500,Rómulo Otero,ve VEN,MFFW,Fortaleza,29,1992,2.6,154,0,9,73,75,3,154,6,12,50.0,6,7,103,14,Matches,96fdc3c0
501,Luis Oyama,br BRA,MF,Botafogo (RJ),25,1997,12.0,709,21,142,473,100,6,709,15,21,71.4,13,19,444,12,Matches,ed0c094b
502,Pablo,br BRA,FW,Atl Paranaense,29,1992,16.6,559,31,60,262,241,44,559,8,16,50.0,43,18,377,66,Matches,1ad394c5
503,Pablo,br BRA,DF,Flamengo,30,1991,21.6,1412,193,721,674,31,19,1412,6,6,100.0,11,2,916,1,Matches,29d8ad3f
504,Juan Pablo,br BRA,DFMF,Goiás,19,2002,1.9,91,5,30,39,22,3,91,1,1,100.0,2,0,38,2,Matches,f40465af
505,Juan Pablo Ramírez,co COL,MFFW,América (MG),24,1997,4.5,263,1,33,119,114,19,263,12,24,50.0,13,10,169,18,Matches,20a17a29
506,Bruno Pacheco,br BRA,DF,Ceará,30,1991,26.1,,,,,,,,,,,,,,,Matches,9b7976e6
507,Igor Paixão,br BRA,FWMF,Coritiba,21,2000,17.2,715,12,88,261,388,62,715,47,94,50.0,46,21,464,80,Matches,089c7323
508,Pará,br BRA,MF,Juventude,19,2002,0.9,45,2,14,28,3,0,45,0,0,,1,0,33,0,Matches,5b1cd0cc
509,Nino Paraíba,br BRA,DF,Ceará,36,1986,24.6,1472,63,379,620,507,29,1472,30,74,40.5,45,13,831,79,Matches,403ef062
510,Guilherme Parede,br BRA,FWMF,Juventude,26,1995,6.6,,,,,,,,,,,,,,,Matches,2da1c94c
511,Weslley Patati,br BRA,FW,Santos,18,2003,0.2,,,,,,,,,,,,,,,Matches,0df16cd7
512,Patrick,br BRA,MFFW,São Paulo,29,1992,21.8,1067,23,162,515,411,77,1067,31,73,42.5,69,44,762,118,Matches,92add14e
513,Alan Patrick,br BRA,MFFW,Internacional,30,1991,17.5,1062,4,78,535,473,60,1060,29,48,60.4,43,34,798,93,Matches,00672021
514,Luan Patrick,br BRA,DF,América (MG),20,2002,9.0,423,50,197,175,55,2,423,1,3,33.3,2,1,230,4,Matches,dd5d1c85
515,Patryck,br BRA,DF,São Paulo,19,2003,0.3,16,0,7,8,1,0,16,1,1,100.0,0,0,10,0,Matches,8dcbd7af
516,Giuliano de Paula,br BRA,MF,Corinthians,31,1990,18.4,1225,23,177,736,321,40,1225,21,31,67.7,30,22,910,77,Matches,ab1b205d
517,Patrick de Paula,br BRA,MF,Botafogo (RJ),22,1999,11.3,585,24,122,371,98,4,585,10,15,66.7,16,9,344,18,Matches,9f12fbb7
518,Paulão,br BRA,DF,Cuiabá,35,1986,8.0,345,72,190,138,17,11,345,0,1,0.0,2,2,187,0,Matches,20587790
519,Paulinho,br BRA,FWMF,América (MG),23,1998,3.2,116,1,7,35,75,10,116,9,14,64.3,10,6,79,21,Matches,bc486f0e
520,Paulinho,br BRA,MF,Corinthians,33,1988,1.8,106,6,18,66,22,1,106,5,5,100.0,5,3,77,5,Matches,bb7337cc
521,Caio Paulista,br BRA,DF,Fluminense,23,1998,17.9,1162,40,226,491,469,63,1162,48,92,52.2,38,32,762,65,Matches,701bb051
522,Wellington Paulista,br BRA,FW,América (MG),37,1984,5.7,164,3,15,69,83,27,163,1,1,100.0,14,4,123,21,Matches,f2eece5b
523,João Paulo,br BRA,DF,América (MG),35,1986,3.9,224,11,65,98,63,2,224,1,6,16.7,4,2,104,5,Matches,ce208556
524,João Paulo,br BRA,GK,Santos,26,1995,37.0,1067,901,1058,9,0,0,1067,3,3,100.0,1,0,346,0,Matches,d0102ca0
525,Marcos Paulo,br BRA,DF,Flamengo,19,2003,0.3,26,0,16,7,4,0,26,0,0,,0,0,7,0,Matches,4dd6bb79
526,Cristian Pavón,ar ARG,FWMF,Atlético Mineiro,26,1996,7.7,427,2,36,181,214,37,427,21,35,60.0,16,12,301,65,Matches,a664b026
527,Pedrinho,br BRA,FWMF,América (MG),22,1999,10.8,489,14,72,154,286,48,489,29,58,50.0,34,28,331,54,Matches,035341ba
